time,gFx,gFy,gFz,TgF
0.999065384,0.6528,0.7667,-0.1534,1.019
1.002505577,0.6501,0.7689,-0.1532,1.018
1.002803115,0.6501,0.7689,-0.1532,1.018
1.004176615,0.6504,0.7689,-0.1537,1.019
1.006300692,0.6516,0.7691,-0.1534,1.020
1.009140538,0.6499,0.7686,-0.1524,1.018
1.009970846,0.6470,0.7696,-0.1544,1.017
1.015422346,0.6470,0.7701,-0.1554,1.018
1.016181,0.6445,0.7703,-0.1542,1.016
1.016563077,0.6426,0.7701,-0.1537,1.015
1.018748731,0.6396,0.7706,-0.1539,1.013
1.0227735,0.6396,0.7706,-0.1551,1.013
1.023129115,0.6394,0.7713,-0.1549,1.014
1.023895884,0.6391,0.7718,-0.1534,1.014
1.026175769,0.6391,0.7735,-0.1537,1.015
1.028729692,0.6379,0.7740,-0.1532,1.015
1.030694,0.6377,0.7733,-0.1537,1.014
1.032584346,0.6357,0.7737,-0.1539,1.013
1.034548731,0.6352,0.7745,-0.1544,1.013
1.036052115,0.6367,0.7752,-0.1542,1.015
1.038035154,0.6360,0.7762,-0.1534,1.015
1.042288615,0.6342,0.7747,-0.1532,1.013
1.042478846,0.6342,0.7747,-0.1532,1.013
1.044169769,0.6340,0.7742,-0.1532,1.012
1.046595615,0.6340,0.7747,-0.1537,1.013
1.04855173,0.6330,0.7733,-0.1549,1.011
1.050600307,0.6323,0.7733,-0.1571,1.011
1.052760846,0.6325,0.7740,-0.1566,1.012
1.054576269,0.6289,0.7728,-0.1559,1.008
1.056725807,0.6294,0.7720,-0.1549,1.008
1.058670961,0.6294,0.7713,-0.1556,1.008
1.062088538,0.6294,0.7713,-0.1564,1.008
1.062282538,0.6294,0.7713,-0.1564,1.008
1.065182923,0.6277,0.7706,-0.1554,1.006
1.067129577,0.6301,0.7708,-0.1559,1.008
1.068757,0.6316,0.7706,-0.1559,1.008
1.0708505,0.6318,0.7706,-0.1559,1.009
1.072617923,0.6335,0.7720,-0.1573,1.011
